sample_id	Status	batch
S20230516_EXPL1_LiSc_SA_S610_RT_25_s2	1	3
S20230516_EXPL1_LiSc_SA_S610_RT_26_s9	1	3
S20230516_EXPL1_LiSc_SA_S610_RT_27_s12	1	3
S20230516_EXPL1_LiSc_SA_S610_RT_28_s17	1	3
S20230516_EXPL1_LiSc_SA_S610_RT_29_s24	1	3
S20230516_EXPL1_LiSc_SA_S610_RT_30_s30	1	3
S20230516_EXPL1_LiSc_SA_S610_RT_31_s33	1	3
S20230516_EXPL1_LiSc_SA_S610_RT_32_s38	1	3
S20230516_EXPL1_LiSc_SA_S610_RT_33_s44	1	3
S20230516_EXPL1_LiSc_SA_S610_RT_34_s48	1	3
S20230516_EXPL1_LiSc_SA_S610_RT_35_s51	0	3
S20230516_EXPL1_LiSc_SA_S610_RT_36_s56	0	3
S20230516_EXPL1_LiSc_SA_S610_RT_37_s63	0	3
S20230516_EXPL1_LiSc_SA_S610_RT_38_s68	0	3
S20230516_EXPL1_LiSc_SA_S610_RT_39_s72	0	3
S20230516_EXPL1_LiSc_SA_S610_RT_40_s80	0	3
S20230516_EXPL1_LiSc_SA_S610_RT_41_s81	0	3
S20230516_EXPL1_LiSc_SA_S610_RT_42_s89	0	3
S20230516_EXPL1_LiSc_SA_S610_RT_43_s92	0	3
S20230516_EXPL1_LiSc_SA_S610_RT_44_s96	0	3
